donation_id,amount,created_at,campaign_id,donor_hash,_loaded_at
AB-1-00000,5.24,2026-03-23 03:00:00,volunteer_drive,sha256:de562439e9c1b823,2026-07-10 17:40:38
AB-1-00001,269.61,2026-01-14 21:00:00,fundraising_2026,sha256:69842a979911036c,2026-07-10 17:40:38
AB-1-00002,4.72,2026-01-05 00:00:00,fundraising_2026,sha256:a6c1ad8f2906e732,2026-07-10 17:40:38
AB-1-00003,98.39,2026-03-25 22:00:00,small_dollar,sha256:ac1dda9690813747,2026-07-10 17:40:38
AB-1-00004,246.13,2026-01-01 05:00:00,gotv_march,sha256:3081cd277bcd1e37,2026-07-10 17:40:38
AB-1-00005,4.88,2026-02-13 03:00:00,gotv_march,sha256:1364f5d8717b0d58,2026-07-10 17:40:38
AB-1-00006,5.23,2026-03-19 08:00:00,fundraising_2026,sha256:4c1d1ef9a18c1bec,2026-07-10 17:40:38
AB-1-00007,95.86,2026-02-18 02:00:00,gotv_march,sha256:bf59cd932cd33931,2026-07-10 17:40:38
AB-1-00008,236.39,2026-01-09 01:00:00,gotv_march,sha256:4c7a37fc313f6d14,2026-07-10 17:40:38
AB-1-00009,47.78,2026-01-30 03:00:00,gotv_march,sha256:e9b2a329082ec45e,2026-07-10 17:40:38
AB-1-00010,238.35,2026-02-15 06:00:00,fundraising_2026,sha256:7302f09be3ef8da2,2026-07-10 17:40:38
AB-1-00011,237.24,2026-01-22 17:00:00,small_dollar,sha256:f7fd2361f34c1b45,2026-07-10 17:40:38
AB-1-00012,94.39,2026-03-23 22:00:00,gotv_march,sha256:a524c5d7cc32b0c4,2026-07-10 17:40:38
AB-1-00013,5.31,2026-01-08 07:00:00,small_dollar,sha256:9eaa8a4481bcf110,2026-07-10 17:40:38
AB-1-00014,240.73,2026-01-28 18:00:00,small_dollar,sha256:d02148654d987ae2,2026-07-10 17:40:38
AB-1-00015,9.53,2026-03-24 14:00:00,volunteer_drive,sha256:1999b7be7bd2b58f,2026-07-10 17:40:38
AB-1-00016,254.23,2026-03-10 08:00:00,small_dollar,sha256:97ccab5cb8672538,2026-07-10 17:40:38
AB-1-00017,45.91,2026-01-18 16:00:00,fundraising_2026,sha256:963d71dc35f7111c,2026-07-10 17:40:38
AB-1-00018,10.58,2026-01-20 20:00:00,small_dollar,sha256:3443ae98105a4310,2026-07-10 17:40:38
AB-1-00019,109.92,2026-02-19 12:00:00,gotv_march,sha256:b99798f85b36a08d,2026-07-10 17:40:38
AB-1-00020,230.73,2026-01-02 21:00:00,gotv_march,sha256:e3e2c2c4931216a4,2026-07-10 17:40:38
AB-1-00021,24.67,2026-02-13 03:00:00,small_dollar,sha256:59afd400cc472df4,2026-07-10 17:40:38
AB-1-00022,10.02,2026-02-03 16:00:00,fundraising_2026,sha256:164edade6eac13a0,2026-07-10 17:40:38
AB-1-00023,102.18,2026-02-08 20:00:00,volunteer_drive,sha256:6cd1b85f61e833c3,2026-07-10 17:40:38
AB-1-00024,108.37,2026-01-21 17:00:00,gotv_march,sha256:8543157d826dfc04,2026-07-10 17:40:38
AB-1-00025,23.7,2026-01-15 11:00:00,volunteer_drive,sha256:b83cc5e0e24d3e91,2026-07-10 17:40:38
AB-1-00026,249.3,2026-01-11 02:00:00,fundraising_2026,sha256:00315dfac5d2b6c2,2026-07-10 17:40:38
AB-1-00027,10.32,2026-03-10 04:00:00,volunteer_drive,sha256:43c0da4303a11587,2026-07-10 17:40:38
AB-1-00028,10.86,2026-03-19 13:00:00,volunteer_drive,sha256:e6d283b69aa3cc4f,2026-07-10 17:40:38
AB-1-00029,243.67,2026-02-21 21:00:00,small_dollar,sha256:9721fa1e1dbe763f,2026-07-10 17:40:38
AB-1-00030,22.61,2026-01-29 02:00:00,volunteer_drive,sha256:f202a496b62a6038,2026-07-10 17:40:38
AB-1-00031,256.56,2026-01-01 02:00:00,volunteer_drive,sha256:c6254111269bc9e7,2026-07-10 17:40:38
AB-1-00032,5.01,2026-01-05 10:00:00,gotv_march,sha256:a72042abe71f447c,2026-07-10 17:40:38
AB-1-00033,10.45,2026-01-28 17:00:00,small_dollar,sha256:2811353e9fd1dcc8,2026-07-10 17:40:38
AB-1-00034,9.19,2026-03-02 13:00:00,small_dollar,sha256:df3eb35a11a66f6c,2026-07-10 17:40:38
AB-1-00035,227.71,2026-02-22 14:00:00,fundraising_2026,sha256:ef4f840f3a301267,2026-07-10 17:40:38
AB-1-00036,9.38,2026-02-13 03:00:00,small_dollar,sha256:b4fce223616f006c,2026-07-10 17:40:38
AB-1-00037,47.5,2026-01-24 08:00:00,fundraising_2026,sha256:34047171bb8bdace,2026-07-10 17:40:38
